Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Fitz-Gerald, S. J. Adair (Shafto Justin Adair), 1859-1925","Rackham, Arthur, 1867-1939",The Zankiwank and The Bletherwitch: An Original Fantastic Fairy Extravaganza,English,PZ: Language and Literatures: Juvenile belles lettres,Demonology -- Juvenile fiction,Text,37111,"Aug 17, 2011",Public domain in the USA.,54 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965","Kerr, George F., 1869-1953",Mother West Wind's Animal Friends,English,PZ: Language and Literatures: Juvenile belles lettres,"Children's stories, American",Text,39706,"May 15, 2012",Public domain in the USA.,54 downloads in the last 30 days.,$0.00,,,,,,,,,The merry little breezes save the green meadows -- The stranger in the green forest -- How Prickly Porky got his quills -- Peter Rabbit's egg rolling -- How Johnny Chuck ran away -- Peter Rabbit's run for life -- A joker fooled -- The fuss in the big pine -- Johnny Chuck finds a use for his back door -- Billy Mink goes dinnerless -- Grandfather Frog's journey -- Why Blacky the Crow wears mourning -- Striped Chipmunk fools Peter Rabbit -- Jerry Muskrat's new house -- Peter Rabbit's big cousin.,,,,,,,,
"Bennett, Charles H. (Charles Henry), 1829-1867",,The Frog Who Would A Wooing Go,English,PZ: Language and Literatures: Juvenile belles lettres,Frogs -- Juvenile fiction,Text,20579,"Feb 14, 2007",Public domain in the USA.,52 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Stanley, Henry M. (Henry Morton), 1841-1904",,"The Boy Travellers on the CongoAdventures of Two Youths in a Journey with Henry M. Stanley ""Through the Dark Continent""",English,PZ: Language and Literatures: Juvenile belles lettres,"Stanley, Henry M. (Henry Morton), 1841-1904 -- Juvenile fiction",Text,60328,"Sep 19, 2019",Public domain in the USA.,48 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Breck, John","Andrews, William T.",Tad Coon's Tricks,English,PZ: Language and Literatures: Juvenile belles lettres,Raccoon -- Juvenile fiction,Text,64216,"Jan 5, 2021",Public domain in the USA.,48 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,Told at twilight stories,
"Harris, Joel Chandler, 1848-1908","Herford, Oliver, 1863-1935",Aaron in the Wildwoods,English,PS: Language and Literatures: American and Canadian literature,Arabs -- Juvenile fiction,Text,52782,"Aug 12, 2016",Public domain in the USA.,47 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Pierson, Clara Dillingham","Gordon, F. C., 1856-1924",Among the Night People,English,PZ: Language and Literatures: Juvenile belles lettres,Children's stories,Text,35014,"Jan 20, 2011",Public domain in the USA.,47 downloads in the last 30 days.,$0.00,,,,,,,,,The black Spanish chickens -- The wigglers become mosquitoes -- The naughty raccoon children -- The timid little ground hog -- The young raccoons go to a party -- The skunks and the ovenbird's nest -- The lazy cut-worms -- The night moth's party -- The lonely old bachelor muskrat -- The greedy red fox -- The unfortunate fireflies -- The kittens come to the forest -- The inquisitive weasels -- The thrifty deer-mouse -- The humming-bird and the hawk-moth.,,,,,,,,
"Baum, L. Frank (Lyman Frank), 1856-1919","Barney, Maginel Wright, 1877-1966",Twinkle and Chubbins: Their Astonishing Adventures in Nature-Fairyland,English,PZ: Language and Literatures: Juvenile belles lettres,Edgeley (N.D.) -- Juvenile fiction,Text,28552,"Apr 10, 2009",Public domain in the USA.,47 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",,"Mother West Wind ""Where"" Stories",English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Juvenile fiction,Text,17250,"Dec 7, 2005",Public domain in the USA.,46 downloads in the last 30 days.,$0.00,,,,,,,,,Where Grandfather Frog Got His Big Mouth -- Where Miser the Trade Rat First Set Up Shop -- Where Yap-Yap the Prairie Dog Used His Wits -- Where Yellow-Wing Got His Liking for the Ground -- Where Little Chief Learned To Make Hay -- Where Glutton the Wolverine Got His Name -- Where Old Mrs. 'Gator Made the First Incubator -- Where Mr. Quack Got His Webbed Feet  -- Where Thunderfoot the Bison Got His Hump -- Where Limberheels Got His Long Tail -- Where Old Mr. Gobbler Got the Strutting Habit -- Where Seek-Seek Got His Pretty Coat -- Where Old Mr. Osprey Learned To Fish -- Where Old Mr. Bob-Cat Left His Honor -- Where Dippy the Loon Got the Name of Being Crazy -- Where Big-Horn Got His Curved Horns.,,,,,,,,
"Breck, John","Andrews, William T.",The Sins of Silvertip the Fox,English,PZ: Language and Literatures: Juvenile belles lettres,Farms -- Juvenile fiction,Text,64162,"Dec 28, 2020",Public domain in the USA.,46 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,Told at twilight stories,
"Walsh, George Ethelbert, 1865-1941","Prittie, Edwin John",Bumper the White Rabbit,English,PZ: Language and Literatures: Juvenile belles lettres,Rabbits -- Juvenile fiction,Text,18648,"Jun 21, 2006",Public domain in the USA.,45 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965","Cady, Harrison, 1877-1970",The Adventures of Unc' Billy Possum,English,PZ: Language and Literatures: Juvenile belles lettres,Opossums -- Juvenile fiction,Text,14732,"Jan 19, 2005",Public domain in the USA.,44 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Davies, G. Christopher (George Christopher), 1849-1922",,The Swan and Her Crewor The Adventures of Three Young Naturalists and Sportsmen on the Broads and Rivers of Norfolk,English,PZ: Language and Literatures: Juvenile belles lettres,Butterflies -- Juvenile fiction,Text,40214,"Jul 12, 2012",Public domain in the USA.,43 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Garis, Howard Roger, 1873-1962","Wisa, Louis",Uncle Wiggily in the Woods,English,PZ: Language and Literatures: Juvenile belles lettres,Uncle Wiggily (Fictitious character) -- Juvenile fiction,Text,17807,"Feb 20, 2006",Public domain in the USA.,43 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Seton, Ernest Thompson, 1860-1946",,"Johnny Bear, and Other Stories from Lives of the Hunted",English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Juvenile fiction,Text,9333,"Nov 1, 2005",Public domain in the USA.,43 downloads in the last 30 days.,$0.00,,,,,,,,,Johnny Bear -- Tito: the story of the coyote that learned how -- Why the chickadee goes crazy once a year.,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965","Cady, Harrison, 1877-1970",The Adventures of Lightfoot the Deer,English,PZ: Language and Literatures: Juvenile belles lettres,Deer -- Juvenile fiction,Text,19079,"Aug 19, 2006",Public domain in the USA.,42 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Bailey, Arthur Scott, 1877-1949","Smith, Harry L.",The Tale of Ferdinand Frog,English,PZ: Language and Literatures: Juvenile belles lettres,Frogs -- Juvenile fiction,Text,24590,"Feb 13, 2008",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
