Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Barnum, Richard","Rogers, Walter S., 1871-","Tamba, the Tame Tiger: His Many Adventures",English,PZ: Language and Literatures: Juvenile belles lettres,Tiger -- Juvenile fiction,Text,62505,"Jun 28, 2020",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,Kneetime animal stories,
"Moore, Bloomfield H., Mrs., 1824-1899",,Frank and Fanny,English,PZ: Language and Literatures: Juvenile belles lettres,Grandparents -- Juvenile fiction,Text,15977,"Jun 3, 2005",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Hutcheson, John C. (John Conroy)",,Fritz and EricThe Brother Crusoes,English,PZ: Language and Literatures: Juvenile belles lettres,Sick -- Juvenile fiction,Text,21108,"Apr 16, 2007",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Walton, Amy, 1848-1899",,The HawthornsA Story about Children,English,PZ: Language and Literatures: Juvenile belles lettres,Circus -- Juvenile fiction,Text,21232,"Apr 27, 2007",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Kingston, William Henry Giles, 1814-1880",,Adventures in the Far West,English,PZ: Language and Literatures: Juvenile belles lettres,Outdoor life -- Juvenile fiction,Text,21871,"Jun 19, 2007",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Fenn, George Manville, 1831-1909",,Nat the Naturalist: A Boy's Adventures in the Eastern Seas,English,PZ: Language and Literatures: Juvenile belles lettres,Oceania -- Juvenile fiction,Text,21356,"May 8, 2007",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Kingston, William Henry Giles, 1814-1880",,The Trapper's Son,English,PZ: Language and Literatures: Juvenile belles lettres,Trappers -- Juvenile fiction,Text,21491,"May 16, 2007",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"McIntosh, Jean",,Animal Chums: True Tales about Four-footed Friends,English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Juvenile fiction,Text,50466,"Nov 16, 2015",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,"John Willie -- ""Hurry up, Jack!"" -- Brer Rabbit's adventure -- The greedy lamb -- The sparrow hawks -- Jacko -- The horse that went to church -- The weasel and the rabbit -- The saucy squirrels -- The owl in the dovecot -- A true story of a canary.",,,,,,,,
"Kingston, William Henry Giles, 1814-1880","Friston, David Henry","The Frontier FortOr, Stirring Times in the North West Territory of British America",English,PZ: Language and Literatures: Juvenile belles lettres,Trappers -- Juvenile fiction,Text,21462,"May 15, 2007",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Cory, David, 1872-1966",,Billy Bunny and Uncle Bull Frog,English,PZ: Language and Literatures: Juvenile belles lettres,Frogs -- Juvenile fiction,Text,5947,"Jun 1, 2004",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Velvin, Ellen, -1918",,"Rataplan, a Rogue Elephant; and Other Stories",English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Juvenile fiction,Text,5867,"Jun 1, 2004",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,"Rataplan, rogue -- Géan, the giraffe -- Keesa, the kangaroo -- Cara, the camel -- Siccatee, the squirrel -- Leo, the lion -- Chaffer, the chamois -- Jinks, the jackal -- Pero, the porcupine -- Tera, the tigress -- Hippo, hippopotamus -- Osra, the ostrich -- Seela, the seal -- Brunie, the bear -- Mona, the monkey -- Bulon, the buffalo.",,,,,,,,
"Optic, Oliver, 1822-1897",,"Down South; or, Yacht Adventure in Florida",English,PZ: Language and Literatures: Juvenile belles lettres,Florida -- Description and travel,Text,24554,"Feb 8, 2008",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Vimar, A. (Auguste), 1851-1916",,The Curly-Haired Hen,English,PZ: Language and Literatures: Juvenile belles lettres,Hens -- Juvenile fiction,Text,13302,"Aug 27, 2004",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,"Hills, Nora Kathleen, 1877-",,,Illustrated by the author.,,,,,,,
"Cory, David, 1872-1966","Barbour, Harold S., 1889-1961",Little Jack Rabbit and Uncle John Hare,English,PZ: Language and Literatures: Juvenile belles lettres,Rabbits -- Juvenile fiction,Text,36052,"May 7, 2011",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Paine, Albert Bigelow, 1861-1937","Condé, J. M.",Hollow Tree Nights and Days,English,PZ: Language and Literatures: Juvenile belles lettres,Trees -- Juvenile fiction,Text,24410,"Jan 23, 2008",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Young, Egerton Ryerson, 1840-1909","Laughlin, J. E.",Winter Adventures of Three Boys in the Great Lone Land,English,PZ: Language and Literatures: Juvenile belles lettres,Hunting -- Juvenile fiction,Text,21246,"Apr 27, 2007",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,,,,,,,,,,"A sequel to the author's ""Three boys in the wild north land.""",,,,,,,
"Ellis, Edward Sylvester, 1840-1916",,"A Young Hero; Or, Fighting to Win",English,PZ: Language and Literatures: Juvenile belles lettres,Hares -- Juvenile fiction,Text,59853,"Jul 4, 2019",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,,,,,,,,,"A young hero, or, fighting to win, by E.S. Ellis -- The walnut rod, by R.F. Colwell -- How the hatchet was buried, by Octavia Carroll -- Hanschen and the hares, from the German by E.T. Sullivan.",,,,,,,,
"Allen, Willis Boyd, 1855-1938","Barnes, Hiram P. (Hiram Putnam)","Gulf and Glacier; or, The Percivals in Alaska",English,PZ: Language and Literatures: Juvenile belles lettres,Alaska -- Description and travel -- Juvenile fiction,Text,43374,"Aug 1, 2013",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Paine, Albert Bigelow, 1861-1937","Condé, J. M.",Mr. Rabbit's WeddingHollow Tree Stories,English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Juvenile fiction,Text,28193,"Feb 25, 2009",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,,,,,,,,,Little Jack Rabbit and Bunty Bun -- Cousin Redfield and the molasses -- Mr. Bear's early spring call -- Mr. Jack Rabbit brings a friend -- Mr. Rabbit's wedding.,,,,,,,,
"Byron, May, 1861-1936","Muckley, Angelo Fairfax, 1859-1920",Robin's Rambles,English,PZ: Language and Literatures: Juvenile belles lettres,Robins -- Juvenile fiction,Text,38504,"Jan 6, 2012",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Moncrieff, Miss",,The Old Oak Tree,English,PZ: Language and Literatures: Juvenile belles lettres,Trees -- Juvenile fiction,Text,62682,"Jul 17, 2020",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Herford, Oliver, 1863-1935",,Two in a Zoo,English,PZ: Language and Literatures: Juvenile belles lettres,Zoos -- Juvenile fiction,Text,46159,"Jul 1, 2014",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,,,,,,,,,,Illustrated by Oliver Herford.,,,,,,,
"Hinkle, Thomas C. (Thomas Clark), 1876-1949","Winter, Milo, 1888-1956",Doctor Rabbit and Ki-Yi Coyote,English,PZ: Language and Literatures: Juvenile belles lettres,Coyote -- Juvenile fiction,Text,57556,"Jul 20, 2018",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Mockler, Geraldine","Pearse, Susan Beatrice, 1878-1980",The Travels of Fuzz and Buzz,English,PZ: Language and Literatures: Juvenile belles lettres,Mice -- Juvenile fiction,Text,56790,"Mar 19, 2018",Public domain in the USA.,10 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Bailey, Arthur Scott, 1877-1949",,The Tale of Sandy Chipmunk,English,PZ: Language and Literatures: Juvenile belles lettres,Chipmunks -- Juvenile fiction,Text,9462,"Dec 1, 2005",Public domain in the USA.,10 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Reid, Mayne, 1818-1883",,Mississipin metsästäjäpojat,Finnish,PZ: Language and Literatures: Juvenile belles lettres,Hunting -- Juvenile fiction,Text,61702,"Mar 29, 2020",Public domain in the USA.,10 downloads in the last 30 days.,$0.00,,,,,,,"Hedman, Valfrid, 1872-1939",,,,,,,,,,The boy hunters. Finnish
"Walsh, George Ethelbert, 1865-1941","Prittie, Edwin John",Bumper the White Rabbit and His Friends,English,PZ: Language and Literatures: Juvenile belles lettres,Rabbits -- Juvenile fiction,Text,57729,"Aug 19, 2018",Public domain in the USA.,10 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Traill, Catharine Parr Strickland, 1802-1899",,"Lady Mary and Her Nurse; Or, A Peep into the Canadian Forest",English,PZ: Language and Literatures: Juvenile belles lettres,Indian embroidery -- North America -- Juvenile fiction,Text,6479,"Sep 1, 2004",Public domain in the USA.,10 downloads in the last 30 days.,$0.00,,,,,,,,,,"See also PG#8607, In the Forest, which is essentially identical to this text",,,,,,,
"Walsh, George Ethelbert, 1865-1941","Prittie, Edwin John",White Tail the Deer's Adventures,English,PZ: Language and Literatures: Juvenile belles lettres,Deer -- Juvenile fiction,Text,57769,"Aug 25, 2018",Public domain in the USA.,9 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Cory, David, 1872-1966","Barbour, Harold S., 1889-1961",Little Jack Rabbit and Danny Fox,English,PZ: Language and Literatures: Juvenile belles lettres,Foxes -- Juvenile fiction,Text,52905,"Aug 27, 2016",Public domain in the USA.,9 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,Little Jack Rabbit Books,
"Castlemon, Harry, 1842-1915",,"Joe Wayring at Home; or, The Adventures of a Fly-Rod",English,PZ: Language and Literatures: Juvenile belles lettres,Outdoor life -- Juvenile fiction,Text,55730,"Oct 11, 2017",Public domain in the USA.,9 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Kipling, Rudyard, 1865-1936",,The Jungle Book,English,PR: Language and Literatures: English literature,India -- History -- 19th century -- Fiction,Text,236,"Jan 16, 2006",Public domain in the USA.,6574 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Grahame, Kenneth, 1859-1932",,The Wind in the Willows,English,PZ: Language and Literatures: Juvenile belles lettres,River life -- Fiction,Text,289,"Jul 1, 1995",Public domain in the USA.,2654 downloads in the last 30 days.,$0.00,,,,,,,,,,"There is an improved edition of this title, eBook #27805",,,,,,,
"Kipling, Rudyard, 1865-1936",,Just So Stories,English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Fiction,Text,2781,"Aug 1, 2001",Public domain in the USA.,2636 downloads in the last 30 days.,$0.00,,,,,,,,,How the whale got his throat -- How the camel got his hump -- How the rhinoceros got his skin -- How the leopard got his spots -- The elephant's child -- The sing-song of Old Man Kangaroo -- The beginning of the armadillos -- How the first letter was written -- How the alphabet was made -- The crab that played with the sea -- The cat that walked by himself -- The butterfly that stamped.,,,,,,,,
"Grahame, Kenneth, 1859-1932","Bransom, Paul, 1885-1979",The Wind in the Willows,English,PZ: Language and Literatures: Juvenile belles lettres,River life -- Fiction,Text,27805,"Jan 14, 2009",Public domain in the USA.,1843 downloads in the last 30 days.,$0.00,,13021253,,,,,,,,,,,,,,,
"Gannett, Ruth Stiles","Gannett, Ruth Chrisman",My Father's Dragon,English,PZ: Language and Literatures: Juvenile belles lettres,Dragons -- Fiction,Text,30017,"Sep 18, 2009",Public domain in the USA.,1416 downloads in the last 30 days.,$0.00,,48006527,,,,,,,,,,,,,,,
"Kipling, Rudyard, 1865-1936","Gleeson, Joseph M. (Joseph Michael), 1861-1917",Just So Stories,English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Fiction,Text,32488,"May 23, 2010",Public domain in the USA.,728 downloads in the last 30 days.,$0.00,,12024463,,,,,,,How the Whale got his throat -- How the Camel got his hump -- How the Rhinoceros got his skin -- How the Leopard got his spots -- The Elephant's Child -- The sing-song of Old Man Kangaroo -- The beginning of the Armadillos -- How the first letter was written -- How the alphabet was made -- The Crab that played with the sea -- The Cat that walked by himself -- The Butterfly that stamped.,,,,,,,,
"Kipling, Rudyard, 1865-1936",,The Jungle Book,English,PR: Language and Literatures: English literature,India -- History -- 19th century -- Fiction,Text,35997,"Apr 30, 2011",Public domain in the USA.,662 downloads in the last 30 days.,$0.00,,,,,,,,,,"There is an improved edition of this title, eBook #236",,,,,,,
"Harris, Joel Chandler, 1848-1908",,Uncle Remus and Brer Rabbit,English,PS: Language and Literatures: American and Canadian literature,African American men -- Fiction,Text,22282,"Aug 9, 2007",Public domain in the USA.,454 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Kipling, Rudyard, 1865-1936",,The Kipling ReaderSelections from the Books of Rudyard Kipling,English,PR: Language and Literatures: English literature,India -- Social life and customs -- Literary collections,Text,16578,"Aug 21, 2005",Public domain in the USA.,181 downloads in the last 30 days.,$0.00,,,,,,,,,"Prose:'Rikki-Tikki-Tavi' -- William the Conqueror, Part I -- William the Conqueror, Part II -- Wee Willie Winkie -- A matter of fact -- Mowgli's brothers -- The lost legion -- Namgay Doola -- A germ-destroyer -- 'Tiger! Tiger!' -- Tods' amendment -- The story of Muhammad Din -- The finances of the gods -- Moti Guj, Mutineer. Poetry:The native born -- The flowers -- Municipal -- The Coastwise Lights -- The English flag -- England's answer -- The Overland Mail -- In spring time.",,,,,,,,
"Potter, Beatrix, 1866-1943",,Great Big Treasury of Beatrix Potter,English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Fiction,Sound,20049,"Dec 8, 2006",Public domain in the USA.,125 downloads in the last 30 days.,$0.00,,,,,,,,,The tale of Peter Rabbit -- The tailor of Gloucester -- The tale of Squirrel Nutkin -- The tale of Benjamin Bunny -- The tale two bad mice -- The tale of Mrs. Tiggy-Winkle -- The pie and the patty-pan -- The tale of Mr. Jeremy Fisher -- The story of a fierce bad rabbit -- The story of Miss Moppet -- The tale of Tom Kitten -- The tale of Jemima Puddle-Duck -- The roly-poly pudding -- The tale of the Flopsy bunnies -- The tale of Mrs. Tittlemouse -- The tale of Timmy Tiptoes -- The tale of Mr. Tod -- The tale of Pigling Bland -- Ginger and Pickles.,,,,,,,,
"Harris, Joel Chandler, 1848-1908",,Nights With Uncle Remus: Myths and Legends of the Old Plantation,English,PS: Language and Literatures: American and Canadian literature,African American men -- Fiction,Text,26429,"Aug 25, 2008",Public domain in the USA.,105 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Harris, Joel Chandler, 1848-1908","Winter, Milo, 1888-1956",Nights With Uncle Remus,English,PS: Language and Literatures: American and Canadian literature,African American men -- Fiction,Text,24430,"Jan 26, 2008",Public domain in the USA.,79 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Seton, Ernest Thompson, 1860-1946",,Animal Heroes,English,PS: Language and Literatures: American and Canadian literature,Animals -- Anecdotes,Text,2284,"Aug 1, 2000",Public domain in the USA.,74 downloads in the last 30 days.,$0.00,,,,,,,,,"The slum cat -- Arnaux, the chronicle of a homing pigeon -- Badlands Billy, the wolf that won -- The boy and the lynx -- Little Warhorse, the history of a jack-rabbit -- Snap, the story of a bull-terrier -- The Winnipeg wolf -- The legend of the white reindeer.",,,,,,,,
"Grahame, Kenneth, 1859-1932",,The Wind in the Willows,English,PZ: Language and Literatures: Juvenile belles lettres,River life -- Fiction,Sound,22340,"Aug 1, 2007",Public domain in the USA.,71 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Stowe, Harriet Beecher, 1811-1896",,Queer Little Folks,English,PS: Language and Literatures: American and Canadian literature,Animals -- Anecdotes,Text,2486,"Jan 1, 2001",Public domain in the USA.,67 downloads in the last 30 days.,$0.00,,,,,,,,,"Hen that hatched ducks -- The Nutcrackers of Nutcracker Lodge -- The history of Tip-Top -- Miss Katy-Did and Miss Cricket -- Mother Magpie's mischief -- The squirrels that live in a house -- Hum, the son of Buz -- Our country neighbours -- The diverting history of little Whiskey.",,,,,,,,
"Seton, Ernest Thompson, 1860-1946",,Wild Animals at Home,English,PS: Language and Literatures: American and Canadian literature,Animals -- Anecdotes,Text,27887,"Jan 25, 2009",Public domain in the USA.,64 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Kipling, Rudyard, 1865-1936",,Le livre de la Jungle,French,PR: Language and Literatures: English literature,India -- History -- 19th century -- Fiction,Text,54183,"Feb 17, 2017",Public domain in the USA.,62 downloads in the last 30 days.,$0.00,,,,,,,"Humières, Robert, vicomte d', 1868-1915",,"Les frères de Mowgli -- La chasse de Kaa -- «Au tigre, au tigre!» -- Le phoque blanc -- «Rikki-Tikki-Tavi» -- Toomai des éléphants -- Service de la reine.",,,,,,,,The jungle book. French
"Kipling, Rudyard, 1865-1936",,Just So Stories,English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Fiction,Sound,26223,"Aug 1, 2008",Public domain in the USA.,60 downloads in the last 30 days.,$0.00,,,,,,,,,How the Whale got his Throat -- How the Camel got his Hump -- How the Rhinoceros got its Skin -- How the Leopard got his Spots -- The Elephant's Child -- The Sing-Song of Old Man Kangaroo -- The Beginning of the Armadillos -- How the First Letter was Written -- How the Alphabet was Made -- The Crab that Played with the Sea -- The Cat that walked by Himself -- The Butterfly that Stamped.,,,,,,,,
"Kipling, Rudyard, 1865-1936",,Viidakkopoika,Finnish,PR: Language and Literatures: English literature,India -- History -- 19th century -- Fiction,Text,45008,"Feb 25, 2014",Public domain in the USA.,43 downloads in the last 30 days.,$0.00,,,,,,,"Hämeen-Anttila, Väinö, 1878-1942",,,"Translation of ""The Jungle Book""",,,,,,,The jungle book. Finnish
"Roberts, Charles G. D., Sir, 1860-1943","Bransom, Paul, 1885-1979",Hoof and Claw,English,QL: Science: Zoology,Animals -- Anecdotes,Text,38675,"Jan 26, 2012",Public domain in the USA.,43 downloads in the last 30 days.,$0.00,,,,,,,,,The bear that thought he was a dog -- The trail of the vanishing herds -- A master of supply -- The white wolf -- Up a tree -- The eyes in the bush -- The runners of the high peaks -- The pool -- The shadows and John Hatch -- The fisher in the chutes -- The assault of wings -- The cabin door -- A basket of fish -- Brannigan's Mary.,,,,,,,,
"Roberts, Charles G. D., Sir, 1860-1943","Copeland, Charles, 1858-1929",Around the Camp-fire,English,PS: Language and Literatures: American and Canadian literature,Canoes and canoeing -- Fiction,Text,48986,"May 17, 2015",Public domain in the USA.,42 downloads in the last 30 days.,$0.00,,,,,,,,Around the Campfire,,,,,,,,,
"Renard, Jules, 1864-1910",,Histoires naturelles,French,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",Animals -- Fiction,Text,44255,"Nov 21, 2013",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Pattullo, George, 1879-1967","Russell, Charles M. (Charles Marion), 1864-1926",The Untamed: Range Life in the Southwest,English,PS: Language and Literatures: American and Canadian literature,"Short stories, Canadian",Text,63307,"Sep 26, 2020",Public domain in the USA.,27 downloads in the last 30 days.,$0.00,,,,,,,,,"Ol' Sam, a mule -- The marauder, a coyote -- Corazón, a roping horse -- The outlaw, a steer -- Shiela, a wolfhound -- Molly, a range cow -- The baby and the puma, mountain lion -- The mankiller, a jack -- Neutria, a mountain cowhorse.",,,,,,,,
"Du Chaillu, Paul B. (Paul Belloni), 1835-1903","Pérard, Victor Semon, 1870-1957",In African Forest and Jungle,English,PZ: Language and Literatures: Juvenile belles lettres,Hunting -- Africa,Text,49591,"Aug 4, 2015",Public domain in the USA.,26 downloads in the last 30 days.,$0.00,,03024208,,,,,,,,,,,,,,,
"Grahame, Kenneth, 1859-1932",,The Wind in the Willows,English,PZ: Language and Literatures: Juvenile belles lettres,River life -- Fiction,Sound,22341,"Aug 1, 2007",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Morgan, C. Lloyd (Conwy Lloyd), 1852-1936",,Animal Behaviour,English,QL: Science: Zoology,Animal intelligence,Text,54462,"Mar 31, 2017",Public domain in the USA.,146 downloads in the last 30 days.,$0.00,,,,,,,,,Organic behaviour -- Consciousness -- Instinctive behaviour -- Intelligent behaviour -- Social behaviour -- The feelings and emotions -- The evolution of animal behaviour.,,,,,,,,
"Gentry, Thomas G. (Thomas George), 1843-1905",,"Intelligence in Plants and AnimalsBeing a New Edition of the Author's Privately Issued ""Soul and Immortality.""",English,QH: Science: Natural history,Droseraceae,Text,64550,"Feb 14, 2021",Public domain in the USA.,99 downloads in the last 30 days.,$0.00,,00006218,,,,,,,,,,,,,,,
"Burroughs, John, 1837-1921",,Ways of Nature,English,QL: Science: Zoology,Animal intelligence,Text,30249,"Oct 13, 2009",Public domain in the USA.,98 downloads in the last 30 days.,$0.00,,,,,,,,,Ways of nature -- Bird-songs -- Nature with closed doors -- The wit of a duck -- Factors in animal life -- Animal communication -- Devious paths -- What do animals know? -- Do animals think and reflect? -- A pinch of salt -- The literary treatment of nature -- A beaver's reason -- Reading the book of nature -- Gathered by the way.,,,,,,,,
"Dixon, Royal, 1885-1962",,The Human Side of Animals,English,QL: Science: Zoology,Animal behavior,Text,19850,"Nov 17, 2006",Public domain in the USA.,71 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Rees, Alfred Wellesley, 1872-1917",,Creatures of the Night: A Book of Wild Life in Western Britain,English,QL: Science: Zoology,Animals -- Anecdotes,Text,29349,"Jul 8, 2009",Public domain in the USA.,68 downloads in the last 30 days.,$0.00,,06012146,,,,,,,"The otter: I. The holt among the alders. II. The pool beneath the farmstead. III. The gorge of Alltycafn.The water-vole: I. Our village hounds. II. The burrow in the river bank. III. Wild hunting. IV. Saved by an enemy. V. The courage of fear.The field-vole: I. Hidden pathways in the grass. II. The valley of Olwen. III. A barren hillside.The fox: I. The last hunt. II. A new home. III. The cub and the polecat. IV. A cry of the night.The brown hare: I. The upland cornfield. II. March madness. III. The chase.The badger: I. A woodland solitude. II. Home discipline. III. Fear of the trap. IV. The winter ""oven."" V. Hillside trails.The hedgehog: I. A vagabond hunter. II. An experience in snake-killing.Night in the woods: I. Haunts of the badger and the fox. II. The Crag of Vortigern.",,,,,,,,
"Hartwig, G. (Georg), 1813-1880",,The Sea and Its Living WondersA Popular Account of the Marvels of the Deep and of the Progress of Martime Discovery from the Earliest Ages to the Present Time,English,QL: Science: Zoology,Discoveries in geography -- History,Text,62011,"May 3, 2020",Public domain in the USA.,67 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Woodworth, Francis C. (Francis Channing), 1812-1859",,Stories about Animals: with Pictures to Match,English,QL: Science: Zoology,Animals -- Folklore,Text,18767,"Jul 6, 2006",Public domain in the USA.,58 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Long, William J. (William Joseph), 1867-1952","Copeland, Charles, 1858-1929","A Little Brother to the Bear, and other Animal Studies",English,QL: Science: Zoology,Animal behavior,Text,38363,"Dec 22, 2011",Public domain in the USA.,53 downloads in the last 30 days.,$0.00,,03027981,,,,,,,The point of view -- A little brother to the bear -- Whitooweek the hermit -- A woodcock genius -- When Upweekis goes hunting -- K'dunk the fat one -- Mooween's den -- Kingfisher's kindergarten -- Pekompf's cunning -- Animal surgery -- Hunting without a gun -- Glossary of Indian names.,,,,,,,,
"Aitken, Edward Hamilton, 1851-1909",,Concerning Animals and Other Matters,English,QL: Science: Zoology,India -- Social life and customs,Text,10962,"Feb 1, 2004",Public domain in the USA.,51 downloads in the last 30 days.,$0.00,,,,,,,,,"Introduction: ""Eha"" -- Feet and hands -- Bills of birds -- Tails -- Noses -- Ears -- Tommy -- The barn owl -- Domestic animals -- Snakes -- The Indian snake-charmer -- Cures for snake-bite -- The cobra bungalow -- The panther I did not shoot -- The Purbhoo -- The coconut tree -- The betel nut -- A Hindu festival -- Indian poverty -- Borrowed Indian words.",,,,,,,,
"Burroughs, John, 1837-1921",,Squirrels and Other Fur-Bearers,English,QL: Science: Zoology,Mammals,Text,24388,"Jan 21, 2008",Public domain in the USA.,49 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Timbs, John, 1801-1875",,Eccentricities of the Animal Creation.,English,QL: Science: Zoology,"Animals, Mythical",Text,44422,"Dec 14, 2013",Public domain in the USA.,48 downloads in the last 30 days.,$0.00,,04030044,,,,,,,"Introductory: curiosities of zoology -- The Rhinoceros in England -- Stories of Mermaids -- Is the Unicorn fabulous? -- The Mole at home -- The great Ant-Bear -- Curiosities of Bats -- The Hedgehog -- The Hippopotamus in England -- Lion-talk -- Bird-life -- Bird's eggs and nests -- The epicure's Ortolan -- Talk about Toucans -- Eccentricities of Penguins -- Pelicans and Cormorants -- Talking birds, instincts, etc. -- Owls -- Weather-wise animals -- Fish-talk -- Fish in British Colombia [i.e. Columbia] -- The tree-climbing Crab -- Musical Lizards -- Chameleons and their changes -- Running Toads -- Song of the Cicada -- Stories about the Barnacle Goose -- Leaves about Bookworms -- Boring marine animals, and human engineers.",,,,,,,,
"Long, William J. (William Joseph), 1867-1952","Copeland, Charles, 1858-1929",Ways of Wood Folk,English,QL: Science: Zoology,Animal behavior,Text,18193,"Apr 17, 2006",Public domain in the USA.,46 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Mills, Enos A., 1870-1922",,Watched by Wild Animals,English,QL: Science: Zoology,Natural history -- Outdoor books,Text,42381,"Mar 21, 2013",Public domain in the USA.,46 downloads in the last 30 days.,$0.00,,22004371,,,,,,,The Rocky Mountain goat -- The haymaker of the heights -- Introducing Mr. and Mrs. Skunk -- The persistent beaver -- The otter plays on -- The bighorn in the snow -- The clown of the prairies -- The black bear: comedian -- On wild life trails -- Rebuilding a beaver colony -- The wary wolf -- Winter ways of animals -- Pronghorn of the plains -- The mountain lion -- Famine in Beaver-Land -- Dog-town diggings -- Echo Mountain grizzly.,,,,,,,,
"Hopley, Catherine Cooper",,Snakes: Curiosities and Wonders of Serpent Life,English,QL: Science: Zoology,Snakes,Text,53153,"Sep 27, 2016",Public domain in the USA.,40 downloads in the last 30 days.,$0.00,,01001188,,,,,,,,,,,,,,,
"Hornaday, William T. (William Temple), 1854-1937",,The Minds and Manners of Wild Animals: A Book of Personal Observations,English,QL: Science: Zoology,Animal behavior,Text,6052,"Jul 1, 2004",Public domain in the USA.,37 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Long, William J. (William Joseph), 1867-1952","Copeland, Charles, 1858-1929",Wilderness Ways,English,QL: Science: Zoology,Animal behavior,Text,15950,"May 31, 2005",Public domain in the USA.,32 downloads in the last 30 days.,$0.00,,00006543,,,,,,,,,,,,,,,
"Long, William J. (William Joseph), 1867-1952",,Wood Folk at School,English,QL: Science: Zoology,Animals -- Anecdotes,Text,22101,"Jul 19, 2007",Public domain in the USA.,32 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Romanes, George John, 1848-1894",,"Animal IntelligenceThe International Scientific Series, Vol. XLIV.",English,QL: Science: Zoology,Animal intelligence,Text,40459,"Aug 9, 2012",Public domain in the USA.,30 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
