Author,Title,Contents,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Illustrator,Compiler,Editor,Translator,Imprint,Note,LoC No.,Alternate Title,Commentator,"Author of introduction, etc.",Series Title,Contributor,Composer,Collaborator,Adapter,Performer,Uniform Title,Creator
"Grimm, Wilhelm, 1786-1859",Grimms' Fairy Tales,"The golden bird -- Hans in luck -- Jorinda and Jorindel -- The travelling musicians -- Old Sultan -- The straw, the coal, and the bean -- Briar Rose -- The dog and the sparrow -- The twelve dancing princesses -- The fisherman and his wife -- The willow-wren and the bear -- The frog-prince -- Cat and mouse in partnership -- The goose-girl -- The adventures of Chanticleer and Partlet -- Rapunzel -- Fundevogel -- The valiant little tailor -- Hansel and Gretel -- The mouse, the bird, and the sausage -- Mother Holle -- Little Red-Cap [Little Red Riding Hood] -- The robber bridegroom -- Tom Thumb -- Rumpelstiltskin -- Clever Gretel -- The old man and his grandson -- The little peasant -- Frederick and Catherine -- Sweetheart Roland -- Snowdrop -- The pink -- Clever Elsie -- The miser in the bush -- Ashputtel -- The white snake -- The wolf and the seven little kids -- The queen bee -- The elves and the shoemaker -- The juniper-tree -- The turnip -- Clever Hans -- The three languages -- The fox and the cat -- The four clever brothers -- Lily and the lion -- The fox and the horse -- The blue light -- The raven -- The golden goose -- The water of life -- The twelve huntsmen -- The king of the golden mountain -- Doctor Knowall -- The seven ravens -- The wedding of Mrs Fox -- The salad -- The story of the youth who went forth to learn what fear was -- King grisly-beard -- Iron Hans -- Cat-skin -- Snow-white and Rose-red.",English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fairy tales -- Germany,Text,2591,"Apr 1, 2001",Public domain in the USA.,10647 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox-Davies, Arthur Charles, 1871-1928",A Complete Guide to Heraldry,,English,CR: History: Heraldry,Heraldry -- Great Britain,Text,41617,"Dec 13, 2012",Public domain in the USA.,2318 downloads in the last 30 days.,$0.00,"Johnston, Graham, 1869-",,,,,,,,,,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",Old Granny Fox,,English,PS: Language and Literatures: American and Canadian literature,Foxes -- Juvenile fiction,Text,4980,"Jan 1, 2004",Public domain in the USA.,1415 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Foxe, John, 1516-1587","Fox's Book of MartyrsOr A History of the Lives, Sufferings, and TriumphantDeaths of the Primitive Protestant Martyrs",,English,"BR: Philosophy, Psychology, Religion: Christianity",Martyrs,Text,22400,"Aug 25, 2007",Public domain in the USA.,1354 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Jonson, Ben, 1573?-1637","Volpone; Or, The Fox",,English,PR: Language and Literatures: English literature,Extortion -- Drama,Text,4039,"May 1, 2003",Public domain in the USA.,1170 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",The Time Armada,,English,PS: Language and Literatures: American and Canadian literature,Families -- Fiction,Text,65072,"Apr 13, 2021",Public domain in the USA.,1144 downloads in the last 30 days.,$0.00,"Terry, W. E., 1921-1992",,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",The Builders,,English,PS: Language and Literatures: American and Canadian literature,Post-apocalyptic fiction,Text,65100,"Apr 18, 2021",Public domain in the USA.,895 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Talbot, William Henry Fox, 1800-1877",The Pencil of Nature,,English,TR: Technology: Photography,Photography -- Early works to 1850,Text,33447,"Aug 16, 2010",Public domain in the USA.,599 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Potter, Beatrix, 1866-1943",The Tale of Jemima Puddle-Duck,,English,PZ: Language and Literatures: Juvenile belles lettres,Ducks -- Juvenile fiction,Text,14814,"Jan 27, 2005",Public domain in the USA.,549 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Aesop, 620? BCE-564? BCE",Aesop's Fables,"The cock and the pearl -- The wolf and the lamb -- The dog and the shadow -- The lion's share -- The wolf and the crane -- The man and the serpent -- The town mouse and the country mouse -- The fox and the crow -- The sick lion -- The ass and the lapdog -- The lion and the mouse -- The swallow and the other birds -- The frogs desiring a king -- The mountains in labour -- The hares and the frogs -- The wolf and the kid -- The woodman and the serpent -- The bald man and the fly -- The fox and the stork -- The fox and the mask -- The jay and the peacock -- The frog and the ox -- Androcles -- The bat, the birds, and the beasts -- The hart and the hunter -- The serpent and the file -- The man and the wood -- The dog and the wolf -- The belly and the members -- The hart in the ox-stall -- The fox and the grapes -- The horse, hunter, and stag -- The peacock and Juno -- The fox and the lion -- The lion and the statue -- The ant and the grasshopper -- The tree and the reed -- The fox and the cat -- The wolf in sheep's clothing -- The dog in the manger -- The man and the wooden god -- The fisher -- The shepherd's boy -- The young thief and his mother -- The man and his two wives -- The nurse and the wolf -- The tortoise and the birds -- The two crabs -- The ass in the lion's skin -- The two fellows and the bear -- The two pots -- The four oxen and the lion -- The fisher and the little fish -- Avaricious and envious -- The crow and the pitcher -- The man and the satyr -- The goose with the golden eggs -- The labourer and the nightingale -- The fox, the cock, and the dog -- The wind and the sun -- Hercules and the waggoner -- The man, the boy, and the donkey -- The miser and his gold -- The fox and the mosquitoes -- The fox without a tail -- The one-eyed doe -- Belling the cat -- The hare and the tortoise -- The old man and death -- The hare with many friends -- The lion in love -- The bundle of sticks -- The lion, the fox, and the beasts -- The ass's brains -- The eagle and the arrow -- The milkmaid and her pail -- The cat-maiden -- The horse and the ass -- The trumpeter taken prisoner -- The buffoon and the countryman -- The old woman and the wine-jar -- The fox and the goat.",English,PZ: Language and Literatures: Juvenile belles lettres,Aesop's fables -- Translations into English,Text,28,"Mar 1, 1992",Public domain in the USA.,479 downloads in the last 30 days.,$0.00,,,,,"Houston: Advantage International, The PaperLess Readers Club, 1992","Planned as PG's second Aesop extext. See also comprehensive versions PG#21 tr. by George Fyler Townsend, PG#11339 tr. by V. S. Vernon Jones, and illustrated PG#18732.",,,,,,,,,,,,
"Baldwin, James, 1841-1925",Fifty Famous People: A Book of Short Stories,"Saving the birds -- Another bird story -- Speaking a piece -- Writing a composition -- The whistle -- The Ettrick Shepherd -- The Caliph and the poet -- ""Beccos! Beccos! Beccos!"" -- A lesson in humility -- The midnight ride -- The boy and the wolf -- Another wolf story -- The horseshoe nails -- The landlord's mistake -- A lesson in manners -- Going to sea -- The shepherd-boy painter -- Two great painters -- The king and the bees -- Our first great painter -- The young scout -- The lad who rode sidesaddle -- The whisperers -- How a prince learned to read -- ""Read, and you will know"" -- The young cupbearer -- The sons of the Caliph -- The boy and the robbers -- A lesson in justice -- The general and the fox -- The bomb -- A story of old Rome -- Saved by a dolphin -- ""Little brothers of the air"" -- A clever slave -- One of Aesop's fables -- The dark day -- The surly guest -- The story of a great story -- The king and the page -- The hunted king -- ""Try, try again!"" -- Why he carried the turkey -- The paddle-wheel boat -- The Caliph and the gardener -- The cowherd who become a poet -- The lover of men -- The charocoal man and the king -- Which was the king? -- The golden tripod.",English,PZ: Language and Literatures: Juvenile belles lettres,Character -- Juvenile literature,Text,6168,"Jul 1, 2004",Public domain in the USA.,410 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Seton, Ernest Thompson, 1860-1946",Wild Animals I Have Known,"Lobo, the King of Currumpaw -- Silverspot, the Story of a Crow -- Raggylug, the Story of a Cottontail Rabbit -- Bingo, the Story of My Dog -- The Springfield Fox -- The Pacing Mustang -- Wully, the Story of a Yaller Dog -- Redruff, the Story of the Don Valley Partridge",English,QL: Science: Zoology,Animals -- Anecdotes,Text,3031,"Jan 1, 2002",Public domain in the USA.,362 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, Page",One Thousand Ways to Make Money,,English,T: Technology,Occupations,Text,56006,"Nov 19, 2017",Public domain in the USA.,294 downloads in the last 30 days.,$0.00,,,,,,,01029486,1000 Ways to Make Money,,,,,,,,,,
"Henry, O., 1862-1910",Cabbages and Kings,"The proem: by the carpenter -- ""Fox-in-the-morning"" -- The lotus and the bottle -- Smith -- Caught -- Cupid's exile number two -- The phonograph and the graft -- Money maze -- The admiral -- The flag paramount -- The shamrock and the palm -- The remnants of the code -- Shoes -- Ships -- Masters of arts -- Dicky -- Rouge et noir -- Two recalls -- The vitagraphoscope.",English,PS: Language and Literatures: American and Canadian literature,New York (N.Y.) -- Social life and customs -- Fiction,Text,2777,"Aug 1, 2001",Public domain in the USA.,282 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Lang, Andrew, 1844-1912",The Orange Fairy Book,"The Story of the Hero Makoma -- The Magic Mirror From the Senna -- Story of the King Who Would See Paradise -- How Isuro the Rabbit Tricked Gudu -- Ian, the Soldier's Son -- The Fox and the Wolf -- How Ian Direach Got the Blue Falcon -- The Ugly Duckling -- The Two Caskets -- The Goldsmith's Fortune -- The Enchanted Wreath -- The Foolish Weaver -- The Clever Cat -- The Story of Manus -- Pinkel the Thief -- The Adventures of a Jackal -- The Adventures of the Jackal's Eldest Son -- The Adventures of the Younger Son of the Jackal -- The Three Treasures of the Giants -- The Rover of the Plain -- The White Doe -- The Girl-Fish -- The Owl and the Eagle -- The Frog and the Lion Fairy -- The Adventures of Covan the Brown-haired -- The Princess Bella-Flor--  The Bird of Truth -- The Mink and the Wolf -- Adventures of an Indian Brave -- How the Stalos were Tricked -- Andras Baive -- The White Slipper -- The Magic Book.",English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,3027,"Jan 1, 2002",Public domain in the USA.,275 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Boutell, Charles, 1812-1877",The Handbook to English Heraldry,,English,CR: History: Heraldry,Heraldry -- Great Britain,Text,23186,"Oct 24, 2007",Public domain in the USA.,265 downloads in the last 30 days.,$0.00,"Utting, R. B.",,"Fox-Davies, Arthur Charles, 1871-1928",,,,,,,,,,,,,,,
"Rafy, Mrs.",Folk-Tales of the Khasis,"What makes the eclipse -- The legend of Mount Sophet Bneng -- How the peacock got his beautiful feathers -- The goddess who came to live with mankind -- The formation of the earth -- U Raitong (the Khasi Orpheus) -- The tiger and the monkeys -- The legend of the Iei Tree -- Hunting the Stag Lapalang -- The goddesses Ka Ngot and Ka Iam -- U Biskurom -- U Thlen -- How the dog came to live with man -- The origin of betel and tobacco -- The stag and the snail -- The leap of Ka Likai -- The shadows on the moon -- U Ksuid Tynjang -- What makes the lightning -- The prohibited food -- The cooing of the doves -- How the colour of the monkey became grey -- Ka Panshandi, the lazy tortoise -- The idiot and the Hyndet bread -- U Ramhah -- How the cat came to live with man -- How the fox got his white breast -- How the tiger got his strength -- How the goat came to live with man -- How the ox came to be the servant of man -- The lost book -- The blessing of the mendicant.",English,"GR: Geography, Anthropology, Recreation: Folklore",Khasi (Indic people) -- Folklore,Text,37884,"Oct 30, 2011",Public domain in the USA.,263 downloads in the last 30 days.,$0.00,,,,,,,21002119,,,,,,,,,,,
"James, Grace",Japanese Fairy Tales,"Green willow -- The flute -- The tea-kettle -- The peony lantern -- The Sea King and the magic jewels -- The good thunder -- The black bowl -- The star lovers -- Horaizan -- Reflections -- The story of Susa, the Impetuous -- The wind in the pine tree -- Flower of the peony -- The mallet -- The bell of Dōjōji -- The Maiden of Unai -- The robe of feathers -- The Singing Bird of Heaven -- The Cold Lady -- The Fire Quest -- A legend of Kwannon -- The espousal of the rat's daughter -- The land of Yomi -- The spring lover and the autumn lover -- The strange story of the golden comb -- The jelly-fish takes a journey -- Urashima -- Tamamo, the fox maiden -- Momotaro -- The Matsuyama mirror -- Broken images -- The tongue-cut sparrow -- The nurse -- The beautiful dancer of Yedo -- Hana-saka-jiji -- The moon maiden -- Karma -- The sad story of the Yaoya's daughter.",English,"GR: Geography, Anthropology, Recreation: Folklore",Fairy tales -- Japan,Text,35853,"Apr 13, 2011",Public domain in the USA.,262 downloads in the last 30 days.,$0.00,"Goble, Warwick, 1862-1943",,,,,,,,,,,,,,,,,
"Centlivre, Susanna, 1667?-1723",The Busie Body,,English,PR: Language and Literatures: English literature,English drama,Text,16740,"Sep 24, 2005",Public domain in the USA.,237 downloads in the last 30 days.,$0.00,,,,,,"Augustan Reprint Society, publication number 19",,,"Byrd, Jess",,,,,,,,,
"Grierson, Elizabeth W. (Elizabeth Wilson)",The Scottish Fairy Book,Thomas the rhymer -- Gold-tree and Silver-tree -- Whippity-Stourie -- The Red-Etin -- The seal catcher and the merman -- The page boy and the silver goblet -- The black bull of Norroway -- The wee bannock -- The elfin knight -- What to say to the new mune -- Habetrot the spinstress -- Nippit Fit and Clippit Fit -- The fairies of Merlin's Crag -- The wedding of Robin Redbreast and Jenny Wren -- The Dwarfie Stone -- Canonbie Dick and Thomas of Ercildoune -- The Laird o' Co' -- Poussie Baudrons -- The milk white doo -- The Draiglin' Hogney -- The Brownie o' Ferne-Den -- The Witch of Fife -- Assipattle and the Mester Stoorworm -- The Fox and the Wolf -- Katherine Crackernuts -- Times to sneeze -- The Well o' the World's End -- Farquhar MacNeill -- Peerifool -- Birthdays.,English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales -- Scotland,Text,37532,"Sep 26, 2011",Public domain in the USA.,229 downloads in the last 30 days.,$0.00,"Williams, Morris Meredith, 1881-1973",,,,,,,,,,,,,,,,,
"Grimm, Wilhelm, 1786-1859",Snowdrop & Other Tales,Snowdrop -- The pink -- Briar rose -- The Jew among the thorns -- Ashenputtel -- The white snake -- The wolf and the seven kids -- The queen bee -- The elves and the shoemaker -- The wolf and the man -- The turnip -- Clever Hans -- The three languages -- The fox and the cat -- The four clever brothers -- The lady and the lion -- The fox and the horse -- The blue light -- The goosegirl -- The golden goose -- The water of life -- Clever Grethel -- The King of the Golden Mountain -- Doctor Know-all -- The seven ravens -- The marriage of Mrs. Reynard -- The salad -- The youth who could not shudder -- King Thrushbeard -- Iron Hans.,English,PZ: Language and Literatures: Juvenile belles lettres,Children -- Conduct of life -- Juvenile fiction,Text,37381,"Sep 10, 2011",Public domain in the USA.,217 downloads in the last 30 days.,$0.00,"Rackham, Arthur, 1867-1939",,,,,,,Snowdrop and Other Tales,,,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",The Adventures of Reddy Fox,,English,PZ: Language and Literatures: Juvenile belles lettres,Foxes -- Juvenile fiction,Text,1825,"Jul 1, 1999",Public domain in the USA.,174 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Rinder, Frank, 1865-1945",Old-World Japan: Legends of the Land of the Gods,"The birth-time of the gods -- The Sun-Goddess -- The heavenly messengers -- Prince Ruddy-Plenty -- The Palace of the Ocean-Bed -- Autumn and spring -- The Star-Lovers -- The Island of Eternal Youth -- Rai-Taro, the son of the Thunder-God -- The souls of the children -- The moon-maiden -- The great fir tree of Takasago -- The willow of Mukochima -- The child of the forest -- The vision of Tsunu -- Princess Fire-Fly -- The sparrow's wedding -- The love of the snow-white fox -- Nedzumi -- Koma and Gon.",English,"GR: Geography, Anthropology, Recreation: Folklore","Mythology, Japanese",Text,46863,"Sep 15, 2014",Public domain in the USA.,162 downloads in the last 30 days.,$0.00,"Robinson, T. H. (Thomas Heath), 1869-1954",,,,,,,,,,,,,,,,,
"Stevenson, Augusta, 1869-1976","Children's Classics in Dramatic Form, A Reader for the Fourth Grade","The travelers and the hatchet -- The old man and his grandson -- The crow and the fox -- The miller, his son, and their donkey -- Each in his own place -- What the goodman does is always right -- The cat and the mouse -- The girl who trod on the loaf -- The ugly duckling -- The red shoes -- The story of Ali Cogia -- The wild swans -- The two countrymen -- The man and the alligator -- The song in the heart -- The emperor's test -- Christopher Columbus.",English,"PN: Language and Literatures: Literature: General, Criticism, Collections",Children's plays,Text,10541,"Dec 1, 2003",Public domain in the USA.,160 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Masefield, John, 1878-1967",Reynard the Fox,,English,PR: Language and Literatures: English literature,Fox hunting -- Poetry,Text,38052,"Nov 18, 2011",Public domain in the USA.,154 downloads in the last 30 days.,$0.00,"Moore-Park, Carton, 1877-1956",,,,,,20020443,"Reynard the fox; or, The Ghost Heath run",,,,,,,,,,
"Norton, Andre, 1912-2005",Key Out of Time,,English,PS: Language and Literatures: American and Canadian literature,"Ashe, Gordon (Fictitious character) -- Fiction",Text,19651,"Oct 28, 2006",Public domain in the USA.,151 downloads in the last 30 days.,$0.00,,,,,,,63010861,,,,,,,,,,,
"Fanny, Aunt, 1822-1894",The First Little Pet Book with Ten Short Stories in Words of Three and Four Letters,"Preface -- The bad old ape -- Mop, the pet cat, a poem -- Sam, the bad boy -- Ben and Sue, and the see-saw -- The hen and fox, a poem -- Ben and Bob -- The old gray rat -- Poor Will, who was shot in the war -- Ann, the good girl -- Joe, who did not mind.",English,PZ: Language and Literatures: Juvenile belles lettres,Children -- Conduct of life -- Juvenile fiction,Text,31483,"Mar 3, 2010",Public domain in the USA.,150 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Lang, Andrew, 1844-1912",The Brown Fairy Book,What the Rose did to the Cypress -- Ball-Carrier and the Bad One -- How Ball-Carrier finished his Task -- The Bunyip -- Father Grumbler -- The Story of the Yara -- The Cunning Hare -- The Turtle and his Bride -- How Geirald the Coward was Punished -- Habogi -- How the Little Brother set Free his Big Brothers -- The Sacred Milk of Koumongoe -- The Wicked Wolverine -- The Husband of the Rat's Daughter -- The Mermaid and the Boy -- Pivi and Kabo -- The Elf Maiden -- How Some Wild Animals became Tame Ones -- Fortune and the Wood-Cutter -- The Enchanted Head -- The Sister of the Sun -- The Prince and the Three Fates -- The Fox and the Lapp -- Kisa the Cat -- The Lion and the Cat -- Which was the Foolishest? -- Asmund and Signy -- Rubezahl -- Story of the King who would be Stronger then Fate -- Story of Wali Dad the Simple-hearted -- Tale of a Tortoise and of a Mischievous Monkey -- The Knights of the Fish.,English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales,Text,3282,"Jun 1, 2002",Public domain in the USA.,148 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Karrik, Valerian Viliamovich, 1869-1942",More Russian Picture Tales,The Cock and the Bean -- The Goat and the Ram -- The Hungry Wolf -- The Peasant and the Bear -- The Dog and the Cock -- King Frost -- The Bear's Paw -- The Bear and the Old Man's Daughters -- The Straw Ox -- The Fox and the Blackbird.,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore -- Russia,Text,23462,"Nov 12, 2007",Public domain in the USA.,140 downloads in the last 30 days.,$0.00,,,,"Forbes, Nevill, 1883-1929",,,,,,,,,,,,,,
"Hamel, Frank",Human Animals,Introductory -- Transformation -- The bush-soul -- Human souls in animal bodies -- Animal dances -- Man-animal and animal-man -- Scapegoat and saint -- The wer-wolf trials -- The wer-wolf in myth and legend -- Lion- and tiger-men -- Wer-fox and wer-vixen -- Witches -- Familiars -- Transformation in folk-lore and fairy-tale -- Fabulous animals and monsters -- Human serpents -- Cat and cock phantoms -- Bird-women -- Family animals -- Animal ghosts -- The phantasmal double -- Animal elementals -- Animal spirits in ceremonial magic -- Conclusion.,English,"GR: Geography, Anthropology, Recreation: Folklore",Animals -- Folklore,Text,40772,"Sep 15, 2012",Public domain in the USA.,137 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"MacMillan, Cyrus, 1880-1953",Canadian Fairy Tales,How Glooskap made the birds -- Rabbit and the grain buyers -- Saint Nicholas and the children -- The fall of the Spider Man -- The boy who was called Thick-Head -- Rabbit and the Indian Chief -- Great Heart and the three tests -- The boy of the red twilight sky -- How Raven brought fire to the Indians -- The girl who always cried -- Ermine and the hunter -- How Rabbit deceived Fox -- The boy and the dragon -- Owl with the great head and eyes -- The tobacco fairy from the blue hills -- Rainbow and the autumn leaves -- Rabbit and the Moon-Man -- The children with one eye -- The giant with the grey feathers -- The cruel stepmother -- The boy who was saved by thoughts -- The song-bird and the healing waters -- The boy who overcame the giants -- The youth and the Dog-Dance -- Sparrow's search for the rain -- The boy in the Land of Shadows.,English,"GR: Geography, Anthropology, Recreation: Folklore",Fairy tales -- Canada,Text,36241,"May 28, 2011",Public domain in the USA.,134 downloads in the last 30 days.,$0.00,"Foster, Marcia Lane",,,,,,,,,"Hibben, John Grier, 1861-1933",,,,,,,,
"Garnett, David, 1892-1981",Lady into Fox,,English,PR: Language and Literatures: English literature,Foxes -- Fiction,Text,10337,"Nov 1, 2003",Public domain in the USA.,132 downloads in the last 30 days.,$0.00,"Garnett, R. A. (Rachel Alice)",,,,,,,,,,,,,,,,,
"Fox, Gardner F. (Gardner Francis), 1911-1986",The Warlock of Sharrador,,English,PS: Language and Literatures: American and Canadian literature,Adventure stories,Text,64711,"Mar 5, 2021",Public domain in the USA.,124 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Burnett, Frances Hodgson, 1849-1924","Emily Fox-SetonBeing ""The Making of a Marchioness"" and ""The Methods of Lady Walderhurst""",,English,PS: Language and Literatures: American and Canadian literature,Household employees -- Fiction,Text,17226,"Dec 5, 2005",Public domain in the USA.,110 downloads in the last 30 days.,$0.00,"Williams, C. D. (Charles D.), 1875-1954",,,,,,,,,,,,,,,,,
"Fox, George, 1624-1691",George Fox: An Autobiography,,English,"BX: Philosophy, Psychology, Religion: Christianity: Churches, Church movements","Fox, George, 1624-1691",Text,43031,"Jun 24, 2013",Public domain in the USA.,106 downloads in the last 30 days.,$0.00,,,"Jones, Rufus M. (Rufus Matthew), 1863-1948",,,,,,,,,,,,,,,
"Gordy, Wilbur F. (Wilbur Fisk), 1854-1929",American Leaders and Heroes: A preliminary text-book in United States History,"Christopher Columbus and the discovery of America -- Hernando De Soto and the discovery of the Mississippi -- Sir Walter Raleigh and the first English attempts to colonize America -- John Smith and the settlement of Jamestown -- Nathaniel Bacon and the uprising of the people in Virginia in 1676 -- Miles Standish and the Pilgrims -- Roger Williams and the Puritans -- William Penn and the settlement of Pennsylvania -- Cavelier de La Salle and the French in the Mississippi Valley -- George Washington, the boy surveyor and young soldier -- James Wolfe, the hero of Quebec -- Patrick Henry and the Stamp Act -- Samuel Adams and the Boston Tea Party -- Paul Revere and the battle of Concord and Lexington -- Benjamin Franklin and aid from France -- George Washington, the Virginia planter and the Revolutionary soldier -- Nathaniel Greene, the hero of the South, and Francis Marion, the ""Swamp Fox"" -- Daniel Boone, the Kentucky pioneer -- Thomas Jefferson and the Louisiana Purchase -- Robert Fulton and the steamboat -- Andrew Jackson, the upholder of the Union -- Daniel Webster, the defender and expounder of the Constitution -- Samuel Finley Breese Morse and the electric telegraph -- Abraham Lincoln, the liberator of the slaves -- Ulysses Simpson Grant and the Civil War -- Some leaders and heroes in the war with Spain.",English,E151: History: America: United States,United States -- Biography,Text,35742,"Apr 1, 2011",Public domain in the USA.,103 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Pyle, Katharine, 1863-1938","The Wonder Clock; or, four & twenty marvellous Talesbeing one for each hour of the day","Bearskin -- The Water of Life -- How one turned his trouble to some account -- How three went out into the wide world -- The Clever Student and the Master of Black Arts -- The Princess Golden-Hair and the Great Black Raven -- Cousin Greylegs, the Great Red Fox, and Grandfather Mole -- One good turn deserves another -- The White Bird -- How the good gifts were used by two -- How Boots befooled the king -- The Step-mother -- Master Jacob -- Peterkin and the Little Grey Hare -- Mother Hildegarde -- Which is best -- The simpleton and his little black hen -- The Swan Maiden -- The three little pigs and the ogre -- The staff and the fiddle -- How the princess's pride was broken -- How two went into partnership -- King Stork -- The best that life has to give.",English,PZ: Language and Literatures: Juvenile belles lettres,Children's poetry,Text,63383,"Oct 5, 2020",Public domain in the USA.,101 downloads in the last 30 days.,$0.00,,,,,,Illustrated by Howard Pyle.,,"The Wonder Clock; or, four and twenty marvellous Talesbeing one for each hour of the day",,,,,,,,,,
"Kipling, Rudyard, 1865-1936",Actions and Reactions,"An habitation enforced -- The recall -- Garm, a hostage -- The power of the dog -- The mother hive -- The bees and the flies -- With the night mail -- The four angels -- A deal in cotton -- The new knighthood -- The puzzler -- The puzzler [poem] -- Little foxes -- Gallio's song -- The house surgeon -- The rabbi's song.",English,PR: Language and Literatures: English literature,"Short stories, English",Text,2381,"Nov 1, 2000",Public domain in the USA.,100 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Lang, Andrew, 1844-1912",The Brown Fairy Book,What the rose did to the cypress -- Ball-carrier and the bad one -- How Ball-carrier finished his task -- The Bunyip -- Father Grumbler -- The story of Yara -- The cunning hare -- The turtle and his bride -- How Geirald the Coward was punished -- Hábogi -- How the little brother set free his big brothers -- The sacred milk of Koumongoé -- The wicked wolverine -- The husband of the rat's daughter -- The mermaid and the boy -- Pivi and Kabo -- The elf maiden -- How some wild animals became tame ones -- Fortune and the wood-cutter -- The enchanted head -- The sister of the sun -- The prince and the three fates -- The fox and the Lapp -- Kisa the cat -- The lion and the cat -- Which was the foolishest? -- Asmund and Signy -- Rübezahl -- Story of the king who would be stronger than Fate -- Story of Wali Dâd the Simple-hearted -- Tale of a tortoise and of a mischievous monkey -- The knights of the fish.,English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales,Text,31201,"Feb 6, 2010",Public domain in the USA.,93 downloads in the last 30 days.,$0.00,"Ford, H. J. (Henry Justice), 1860-1941",,,,,,,,,,,,,,,,,
"Torrey, Bradford, 1843-1912",The Clerk of the Woods,"A short month -- A full migration -- A favorite round -- In the Cambridge swamp -- A quiet afternoon -- Popular woodpeckers -- Late summer notes -- Wood silence -- Southward bound -- Four dreamers -- A day in Franconia -- With the waders -- On the North Shore again -- Autumnal moralities -- A text from Thoreau -- The pleasures of melancholy -- In the old paths -- The prosperity of a walk -- Signs of spring -- Old colony berry pastures -- Squirrels, foxes, and others -- Winter as it was -- ""Down at the store"" -- Birds at the window -- A good-by to winter -- Bird songs and bird talk -- Chipmunks, bluebirds, and robins -- March swallows -- Woodcock vespers -- Under April clouds -- Flying squirrels and spade-foot frogs -- The warblers are coming.",English,QH: Science: Natural history,Natural history -- Outdoor books,Text,64727,"Mar 6, 2021",Public domain in the USA.,92 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Harding, A. R. (Arthur Robert), 1871-1930","Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and ShootA Valuable Book for Trappers",,English,SK: Agriculture: Hunting sports,Fox trapping,Text,34076,"Oct 15, 2010",Public domain in the USA.,85 downloads in the last 30 days.,$0.00,,,,,,,06042413,,,,,,,,,,,
Various,"Encyclopaedia Britannica, 11th Edition, ""Fox, George"" to ""France""Volume 10, Slice 7",,English,AE: General Works: Encyclopedias,Encyclopedias and dictionaries,Text,36104,"May 14, 2011",Public domain in the USA.,85 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",Sidewinders From Sirius,,English,PS: Language and Literatures: American and Canadian literature,Weapons -- Fiction,Text,64625,"Feb 25, 2021",Public domain in the USA.,85 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",The Adventures of Old Man Coyote,,English,PZ: Language and Literatures: Juvenile belles lettres,Coyote -- Juvenile fiction,Text,46952,"Sep 24, 2014",Public domain in the USA.,83 downloads in the last 30 days.,$0.00,"Cady, Harrison, 1877-1970",,,,,,,,,,,,,,,,,
