Author,Title,Contents,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Illustrator,Compiler,Editor,Translator,Imprint,Note,LoC No.,Alternate Title,Commentator,"Author of introduction, etc.",Series Title,Contributor,Composer,Collaborator,Adapter,Performer,Uniform Title,Creator
"Paul, John Dean, Sir, 1775-1852",ABC of Fox Hunting,,English,PR: Language and Literatures: English literature,Horses,Text,30243,"Oct 13, 2009",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
Anonymous,The Fox and the Geese; and The Wonderful History of Henny-Penny,,English,PZ: Language and Literatures: Juvenile belles lettres,Geese -- Juvenile poetry,Text,22611,"Sep 15, 2007",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,Images of the original pages are available through Internet Archive/American Libraries. See http://www.archive.org/details/foxgeesewonderfu00weiriala,,,,,,,,,,,,
"Sea, Sophie Fox","""That Old-Time Child, Roberta""Her Home-Life on the Farm",,English,PZ: Language and Literatures: Juvenile belles lettres,Kentucky -- Juvenile fiction,Text,14897,"Feb 5, 2005",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Weems, M. L. (Mason Locke), 1759-1825",The Life of General Francis Marion,,English,E201: History: America: Revolution (1775-1783),"United States -- History -- Revolution, 1775-1783 -- Campaigns",Text,846,"Mar 1, 1997",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Kingston, William Henry Giles, 1814-1880","Foxholme Hall, and Other Tales",,English,PZ: Language and Literatures: Juvenile belles lettres,Adventure stories,Text,40692,"Sep 6, 2012",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Tucker, George Fox, 1852-1929",The Boy Whaleman,,English,PZ: Language and Literatures: Juvenile belles lettres,Whaling -- Juvenile fiction,Text,62689,"Jul 18, 2020",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,"Avison, George, 1885-",,,,,,,,,,,,,,,,,
"Phillpotts, Eden, 1862-1960",The Torch and Other Tales,'Santa Claus' -- The returned native -- John and Jane -- The old soldier -- When Fox was ferryman -- Mother's misfortune -- Steadfast Samuel -- The hound's pool -- The price of Milly Bassett -- The amber heart -- The wise woman of Walna -- The torch -- 'Spider' -- The woodstock -- The night-hawk.,English,PR: Language and Literatures: English literature,Great Britain -- Social life and customs -- Fiction,Text,15737,"Apr 30, 2005",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Sharp, Dallas Lore, 1870-1929",The Hills of Hingham,The hills of Hingham -- The open fire -- The ice crop -- Seed catalogues -- The dustless-duster -- Spring ploughing -- Mere beans -- A pilgrim from Dubuque -- The honey flow -- A pair of pigs -- Leafing -- The little foxes -- Our calendar -- The field of fodder -- Going back to town -- The Christmas tree.,English,PS: Language and Literatures: American and Canadian literature,Country life,Text,18664,"Jun 23, 2006",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,,16008473,,,,,,,,,,,
"Rhodes, Benjamin","Three Apostles of Quakerism: Popular Sketches of Fox, Penn and Barclay",,English,"BX: Philosophy, Psychology, Religion: Christianity: Churches, Church movements","Barclay, Robert, 1648-1690",Text,48973,"May 16, 2015",Public domain in the USA.,20 downloads in the last 30 days.,$0.00,,,,,,,,,,,,"Stoughton, John, 1807-1897",,,,,,
"Schultz, James Willard, 1859-1947",With the Indians in the Rockies,,English,PZ: Language and Literatures: Juvenile belles lettres,Pitamakan -- Siksika Chief -- Juvenile fiction,Text,42274,"Mar 8, 2013",Public domain in the USA.,20 downloads in the last 30 days.,$0.00,"Varian, George, 1865-1923",,,,,,12023115,,,,,,,,,,,
"Clemenceau, Georges, 1841-1929",The Surprises of Life,"Mokoubamba's fetish -- A descendant of Timon -- Malus vicinus -- Aunt Rosalie's inheritance -- Gideon in his grave -- Simon, son of Simon -- At the foot of the cross -- Evil beneficence -- A mad thinker -- Better than stealing -- The gray fox -- The adventure of my curé -- Master Baptist, judge -- The bullfinch and the maker of wooden shoes -- About nests -- A domestic drama -- Six cents -- Flower o' the wheat -- Jean Piot's feast -- The treasure of St. Bartholenew -- A happy union -- A well-assorted couple -- Lovers in Florence -- A hunting accident -- Giambolo.",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",French fiction -- Translations into English,Text,40618,"Aug 29, 2012",Public domain in the USA.,19 downloads in the last 30 days.,$0.00,,,,"Hall, Grace",,,,,,,,,,,,,Aux embuscades de la vie. English,
"Huch, Friedrich, 1873-1913","Pitt und Fox, die Liebeswege der Brüder Sintrup: Roman",,German,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",German fiction,Text,50528,"Nov 22, 2015",Public domain in the USA.,19 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",Crittenden: A Kentucky Story of Love and War,,English,PS: Language and Literatures: American and Canadian literature,"Spanish-American War, 1898 -- Fiction",Text,18318,"May 5, 2006",Public domain in the USA.,19 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Dilley, Edgar M. (Edgar Meck), 1874-1960",The Red Fox's Son: A Romance of Bharbazonia,,English,PS: Language and Literatures: American and Canadian literature,"Imaginary places -- Europe, Eastern -- Fiction",Text,53804,"Dec 25, 2016",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,"Goss, John, 1886-1963",,,,,,,,,,,,,,,,,
"Kianto, Ilmari, 1874-1970",Turjanlinnan satukirja,Kirjantekijän esipuhelma -- Tutteliini -- Kissa Mirri Valkonen -- Kotikoiramme Hurtta Pystykorva Fox… -- Uni-Matti -- Ruoka-Jussi -- Itku-Iikka -- Ämmy -- Porosta ja porolla-ajaja-tytöstä -- Pappilan kanakammiosta -- Pöksy-Paavo ja Paita-Maija ja Puuro-Petteri ja Pörrö-Kerttu ja Klosu-Klisu-Kaaperi -- Punaiset posket -- Tiukukoipi tyttö -- Pikku Pojan kirkko -- Kaiken Kyselijä Tyttö -- Tuittupäät ja Keijut -- Pojat ja tytöt järvenrannassa eli Kesälän uimakoulu -- Turjanlinnan akkunaruudut -- Sotapukki -- Sääskensyömäri Poika -- Miten kesävieraita saadaan -- Kummitus on kultainen herra!,Finnish,PZ: Language and Literatures: Juvenile belles lettres,"Children's stories, Finnish",Text,55481,"Sep 3, 2017",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Lippincott, Joseph Wharton, 1887-1976","Red Ben, the Fox of Oak Ridge",,English,QL: Science: Zoology,Foxes,Text,57688,"Aug 14, 2018",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,,,,Illustrated by the author.,19016656,,,,,,,,,,,
"Sedgwick, Anne Douglas, 1873-1935",Christmas Roses and Other Stories,Christmas roses -- Hepaticas -- Daffodils -- Pansies -- Pink foxgloves -- Carnations -- Staking a larkspur -- Evening primroses -- Autumn crocuses.,English,PR: Language and Literatures: English literature,United States -- Social life and customs -- 20th century -- Fiction,Text,40650,"Sep 2, 2012",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Walpole, Horace, 1717-1797","Memoirs of the Reign of King George the Second, Volume 3 (of 3)",,English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe","Great Britain -- History -- George II, 1727-1760",Text,58705,"Jan 16, 2019",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,"Holland, Henry Richard Vassall, Baron, 1773-1840",,,,,"Memoirs of the Reign of King George II, Volume 3 (of 3)",,,,,,,,,,
"Somerville, E. Oe. (Edith Oenone), 1858-1949",The Silver Fox,,English,PR: Language and Literatures: English literature,Fox hunting -- Fiction,Text,59370,"Apr 26, 2019",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fortescue, J. W. (John William), Sir, 1859-1933",The Story of a Red Deer,,English,PZ: Language and Literatures: Juvenile belles lettres,Fox hunting -- Juvenile fiction,Text,33384,"Aug 9, 2010",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, George Henry, 1846-1937",A Practical Treatise on Smallpox,,English,RC: Medicine: Internal medicine,Smallpox,Text,49242,"Jun 20, 2015",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",The Last Stetson,,English,PS: Language and Literatures: American and Canadian literature,Cumberland Mountains -- Fiction,Text,3024,"Jan 1, 2002",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, Richard C.",The Adductor Muscles of the Jaw In Some Primitive Reptiles,,English,QH: Science: Natural history,Jaws,Text,30321,"Oct 24, 2009",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,,,,,,,64064383,,,,,,,,,,,
"Schultz, James Willard, 1859-1947",The War-Trail Fort: Further Adventures of Thomas Fox and Pitamakan,,English,PS: Language and Literatures: American and Canadian literature,Indians of North America -- Fiction,Text,43210,"Jul 13, 2013",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,"Varian, George, 1865-1923",,,,,,,,,,,,,,,,,
"Waring, George E. (George Edwin), 1833-1898",Whip and Spur,Vix -- Ruby -- Wettstein -- Campaigning with Max -- How I got my overcoat -- Two scouts -- In the gloaming -- Fox-hunting in England.,English,SF: Agriculture: Animal culture,Horses,Text,44492,"Dec 24, 2013",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Garis, Howard Roger, 1873-1962","Uncle Wiggily and the Pirates; Or, How the Enemy Craft of Pirate Fox was Sunk","Uncle Wiggily and the pirates, or, How the enemy craft of Pirate Fox was sunk -- The bob cat nearly spoiled a nutting party -- Uncle Wiggily and Nurse Jane gather May flowers.",English,PZ: Language and Literatures: Juvenile belles lettres,Bobcat -- Juvenile fiction,Text,61695,"Mar 29, 2020",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,"Campbell, Lang, 1882-1937",,,,,,,,,,,,,,,,,
"Nelson, Kathleen Gray",The Fox That Wanted Nine Golden Tails,,English,PZ: Language and Literatures: Juvenile belles lettres,Foxes -- Juvenile fiction,Text,57339,"Jun 17, 2018",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,"Wheelan, Albertine Randall",,,,,,,,,,,,,,,,,
"Fox, R. K. (Richard Kyle), 1846-1922",The Disaster Which Eclipsed History: The Johnstown Flood,,English,F106: United States local history: Atlantic coast. Middle Atlantic States,Floods -- Pennsylvania -- Johnstown (Cambria County),Text,46948,"Sep 24, 2014",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,,,,,,,01010689,,,,,,,,,,,
"Tregarthen, J. C. (John Coulson), 1854-1933","Wild Life at the Land's EndObservations of the Habits and Haunts of the Fox, Badger, Otter, Seal, Hare and of Their Pursuers in Cornwall",,English,SK: Agriculture: Hunting sports,Game and game-birds -- England -- Cornwall (County),Text,57906,"Sep 14, 2018",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Goethe, Johann Wolfgang von, 1749-1832",Le renard,,French,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",German poetry -- Translations into French,Text,17509,"Jan 13, 2006",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,,,,"Grenier, Édouard, 1819-1901",,,,,,,,,,,,,Reineke Fuchs. French,
"Fox, John, Jr., 1862-1919",Hell Fer Sartain and Other Stories,On Hell-fer-Sartain Creek -- Through the gap -- A trick o' trade -- Grayson's baby -- Courtin' on Cutshin -- The message in the sand -- The senator's last trade -- Preachin' on Kingdom-Come -- The passing of Abraham Shivers -- A purple rhododendron.,English,PS: Language and Literatures: American and Canadian literature,Kentucky -- Social life and customs -- Fiction,Text,410,"Jan 1, 1996",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Willoughby de Broke, Henry Verney, baron, 1844-1902",Advice on Fox-Hunting,,English,SK: Agriculture: Hunting sports,Fox hunting,Text,58839,"Feb 7, 2019",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,,,,,,,,,,"Willoughby de Broke, Richard Greville Verney, baron, 1869-1923",,,,,,,,
"Lardner, Ring, 1885-1933",Bib Ballads,,English,PS: Language and Literatures: American and Canadian literature,Children -- Poetry,Text,25961,"Jul 3, 2008",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,"Fox, Fontaine, 1884-1964",,,,,,,,,,,,,,,,,
"Harrison, S. Frances (Susie Frances), 1859-1935",Crowded Out! and Other Sketches,"The story of Monsieur, Madame, and the pea-green parrot -- The Bishop Of Saskabasquia -- ""As it was in the beginning"" -- A Christmas sketch -- The idyl of the island -- The story of Delle Josephine Boulanger -- The story of Etienne Chezy D'Alencourt -- ""Descendez a l'ombre, ma jolie blonde"" -- The prisoner Dubois -- How the Mr. Foxleys came, stayed, and never went away -- The gilded hammock.",English,PS: Language and Literatures: American and Canadian literature,"Short stories, Canadian",Text,8652,"Aug 1, 2005",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fitzhugh, Percy Keese, 1876-1950",Roy Blakeley's Silver Fox Patrol,,English,PZ: Language and Literatures: Juvenile belles lettres,Gold -- Juvenile fiction,Text,43011,"Jun 22, 2013",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,"Hastings, Howard L. (Howard Livingston), 1887-",,,,,,,,,,,,,,,,,
"Centlivre, Susanna, 1667?-1723","The Perjur'd Husband; or, The Adventures of Venice. A Tragedy",,English,PR: Language and Literatures: English literature,Tragedies,Text,38931,"Feb 19, 2012",Public domain in the USA.,15 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
